0.5 ; -0.4375
0.5 ; 0.4375
0.5 ; 0.5
0.5 ; -0.5
1.01010101010101010101010 × 2^(10) ; 1.01010101010101010101011 × 2^(9) // takes 6 cycles
0 ; 0 // zero inputs
1 ; 0
1 ; 1
3.568 ; 0
0 ; 3.568
inf ; inf
inf ; 3.568
-inf ; -inf
-inf ; 3.568
inf ; -inf
nan ; nan
nan ; nan // with sign bit 1
nan ; 3.568
1.00094749307e-41 (denormal) ; 1.00094749307e-41 (denormal) // underflow
1.00094749307e-41 (denormal) ; 3.568
3.40261090673e+38 ; 3.40261090673e+38 // overflow
3.40261090673e+38 ; -3.40261090673e+38
3.40261090673e+38 ; 1.00094749307e-41 (denormal)
1.52587890625e-05 ; 1.52587890625e-05 // 0 fraction with non-zero exponent
